,Mean,AR(1),DFM [A],DFM [B],singleESN [A] [EW],singleESN [B] [EW],multiESN [A] [EW],multiESN [B] [EW]
0,-0.0019005457419318554,0.00025811243305071466,-0.004180772437473399,-0.002645935740317599,4.878620094063771e-05,0.002196154707243037,0.0034315291289019056,-0.00297876071364811
1,0.0017185276292484043,0.0025121612003611363,0.0014783425281626999,0.002952421732039,0.0042582871731824444,0.005218155013380211,0.005459529056637761,0.0007659323452182103
2,0.004500371445944512,0.003685772356320672,0.0036273504656507997,0.0019903086672868,0.003148328303993802,0.0030344958899796775,-1.3073905911082859e-05,0.0011968558052765275
3,0.005100441272497996,0.0030435375127370245,0.0056378798276565,0.0019686947923126,0.005001344407901051,0.0034169042556909373,0.0033412557047309607,0.0040552356513944565
4,-0.002497679376756496,-0.004840875998205147,-0.0008291644682942006,-0.004427393065312601,-0.000665836869959224,-0.0005438848543948757,-0.001637336934864452,-0.0016995298385884122
5,0.00477675466946661,0.005831128875311245,0.0080241181409894,0.0039752885119991,0.006772630979830706,0.00448540311107179,0.0025223916379605426,0.0033885328967806286
6,-0.0017665429386052684,-0.003913092952653612,-0.0026305534488150996,-0.0033574704502874,-0.0016636026644400136,-0.0020374081057584663,-0.0019175042174473227,-0.0017960446367463086
7,-0.0009491260583610441,-0.0002333178130443812,0.0001450133024853001,-0.0004742630515799,-0.00019372638809588005,-0.00041514602754334686,-0.00039932400598628997,-0.001797114420723468
8,0.00965454228572985,0.010016579117868562,0.011991824581397,0.0121028028996967,0.012055216616357228,0.011599290437381405,0.010149394660794805,0.009383619125600009
9,-0.00671176845511886,-0.010925705869679815,-0.003174123607079799,-0.004013329791231099,-0.003929586691799233,-0.0006857937943220045,-0.0013560317464214062,-0.0015434216988231813
10,-0.005466024298922463,-0.00280460267268106,-0.0018166819586067015,-0.0024338488018149,-0.0030600429629050723,-0.004898291171606517,-0.003408416594895266,-0.0036919386110577553
11,0.0016915858310505207,0.0038774604375292343,0.0046527928617147996,0.0035648552440519995,0.0007780608953142244,0.00024933694603085366,0.004367168744358999,0.0015149086039982773
12,-0.001945686240862385,-0.002675455489680246,-0.0016620896310520989,-0.0017381014142158991,-0.0005040554794410387,-0.001425163997216242,-0.0006809132384673153,-0.002043360134931834
13,0.00039055954467497305,0.0011259858384560905,-0.0002367902001043998,0.0008203939128035003,0.0020971182108317733,-1.02114702174496e-05,-0.0007355782178276515,0.00019080880098823298
14,0.002941480043652901,0.002738129561879466,0.0040995193331602,0.0030391462483422,0.0034535507466446065,0.001553562429347274,0.0010926818492372468,0.0030237720123067863
15,0.00468015617782056,0.003451860277443134,0.0036927930794889,0.0029190777869943,0.004632825417178696,0.006101240556766715,0.0030705214018104184,0.00452101752795931
16,0.0002219200444139452,-0.001717085749261574,-7.521658554889964e-05,-0.0013465234218773,0.00017571597067761978,0.0006220739708154522,-0.0008116379057043887,0.00021107433126211095
17,0.0030749911216127316,0.002939789574476407,0.002351391389999,-0.00041397901399280006,0.0030988892967628375,0.002188923771999494,0.0026808818242575207,0.002890826894810471
18,7.214819931143819e-05,-0.001211393673089728,-0.0005151167460462997,-0.0028802058292031,-0.001656884491998494,-0.0022152248383198055,0.0007290503220569568,0.0022008298192821513
19,0.0011080490235111824,0.001033753423164873,0.0018378957496304003,-0.0016207844224712994,-0.0012248251682981048,-0.001232079009945459,0.0002318230118153004,0.0022758358610742288
20,0.0013461637028608225,0.0008561610900608791,0.0026419706534167005,0.0013737220266901006,0.0014575197315176217,0.0004357413534373019,0.001499977437483634,0.0035776196699964947
21,0.00045998334887780313,-0.000125669693256664,0.0029074687418609,-0.00020106952596700076,-0.0008694762408106467,-0.0014362823556385408,-0.003185895555988607,-0.0001712486690247277
22,-0.0011279230910340764,-0.0013570693778092082,0.0013882990289309002,-0.0017753823343798995,-0.0011721925576463222,-0.0006402995508751697,-0.0016595070702773258,-0.001089060938595769
23,-0.0033120532988983814,-0.002902842470761515,-0.0004382492108150008,-0.0028076594361234,-0.0034941641952494244,-0.004561112338775058,-0.0064542289046021425,-0.0036248209730421936
24,-0.0015220155154791314,-0.00023214340551048866,0.0022253446462264003,-0.0012272320802234,-0.0015651560492248445,0.00011403877479227668,-0.0005128339116239966,-0.0003734888184844269
25,-0.0022134869856962336,-0.001643269288707656,-0.0022914962239382,-0.004339479347400601,-0.002315893998001979,-0.002742418022124939,-0.0023360504737566564,-0.0013320423413681554
26,0.001302511528550974,0.002153107422605041,0.0026787559880151,-0.0005013711204056998,0.0012602773371076835,0.0008062735436265272,0.001797244666593003,0.0025777976884733414
27,0.0038702017648566825,0.003304616752009431,0.005889261090151101,0.0027751412380762003,0.0037979366219091292,0.0008445249069523367,0.00247825430290318,0.002157311648490855
28,0.00010566426198135252,-0.0014965106849110206,-0.0024370455611917997,-0.0060842048235789994,5.915526583184609e-05,-0.005481619628532186,-0.004006654095802069,-0.00391204256432703
29,-0.0018331055446370158,-0.001916966967067375,0.00015165778311570025,-0.0037284799513563,-0.001874385889306252,-0.0016667591555412503,-0.0019421129336518617,-0.0016640909775277376
30,-0.0007511972378361547,-5.578852635756103e-05,0.0002201411485212995,-0.0027512558876146,-0.0007921092342693574,-0.0008277390428446836,-0.001706028189145209,-0.0014116302517763043
31,0.001406706810894302,0.00166794686088824,0.0025882807346830003,-0.0010531396185056003,0.0013580126678019635,0.00042666587976098163,-0.0003519051194106294,-0.000971417539444791
